id,nivel,iso3,pais,departamento,municipio,anio,periodo,causa,sexo,grupo_edad,personas_desplazadas,desplazamiento_stock,duracion_periodo_anios,tipo_fuente,fuente
27836,Regional,COL,Colombia,TOLIMA,ARMERO,1980,1980-1988,Conflicto armado / violencia,Todos,Todos,16.0,,9,Secundaria,CNMH - Desplazamiento forzado histórico por municipios (Una nación desplazada)
27837,Regional,COL,Colombia,TOLIMA,ARMERO,1989,1989-1996,Conflicto armado / violencia,Todos,Todos,54.0,,8,Secundaria,CNMH - Desplazamiento forzado histórico por municipios (Una nación desplazada)
27838,Regional,COL,Colombia,TOLIMA,ARMERO,1997,1997-2004,Conflicto armado / violencia,Todos,Todos,612.0,,8,Secundaria,CNMH - Desplazamiento forzado histórico por municipios (Una nación desplazada)
27839,Regional,COL,Colombia,TOLIMA,ARMERO,2005,2005-2014,Conflicto armado / violencia,Todos,Todos,853.0,,10,Secundaria,CNMH - Desplazamiento forzado histórico por municipios (Una nación desplazada)
27840,Regional,COL,Colombia,TOLIMA,ATACO,1980,1980-1988,Conflicto armado / violencia,Todos,Todos,62.0,,9,Secundaria,CNMH - Desplazamiento forzado histórico por municipios (Una nación desplazada)
27841,Regional,COL,Colombia,TOLIMA,ATACO,1989,1989-1996,Conflicto armado / violencia,Todos,Todos,306.0,,8,Secundaria,CNMH - Desplazamiento forzado histórico por municipios (Una nación desplazada)
27842,Regional,COL,Colombia,TOLIMA,ATACO,1997,1997-2004,Conflicto armado / violencia,Todos,Todos,9020.0,,8,Secundaria,CNMH - Desplazamiento forzado histórico por municipios (Una nación desplazada)
27843,Regional,COL,Colombia,TOLIMA,ATACO,2005,2005-2014,Conflicto armado / violencia,Todos,Todos,7767.0,,10,Secundaria,CNMH - Desplazamiento forzado histórico por municipios (Una nación desplazada)
27844,Regional,COL,Colombia,TOLIMA,CAJAMARCA,1980,1980-1988,Conflicto armado / violencia,Todos,Todos,16.0,,9,Secundaria,CNMH - Desplazamiento forzado histórico por municipios (Una nación desplazada)
27845,Regional,COL,Colombia,TOLIMA,CAJAMARCA,1989,1989-1996,Conflicto armado / violencia,Todos,Todos,61.0,,8,Secundaria,CNMH - Desplazamiento forzado histórico por municipios (Una nación desplazada)
27846,Regional,COL,Colombia,TOLIMA,CAJAMARCA,1997,1997-2004,Conflicto armado / violencia,Todos,Todos,1664.0,,8,Secundaria,CNMH - Desplazamiento forzado histórico por municipios (Una nación desplazada)
27847,Regional,COL,Colombia,TOLIMA,CAJAMARCA,2005,2005-2014,Conflicto armado / violencia,Todos,Todos,3550.0,,10,Secundaria,CNMH - Desplazamiento forzado histórico por municipios (Una nación desplazada)
27848,Regional,COL,Colombia,TOLIMA,CARMEN DE APICALÁ,1980,1980-1988,Conflicto armado / violencia,Todos,Todos,0.0,,9,Secundaria,CNMH - Desplazamiento forzado histórico por municipios (Una nación desplazada)
27849,Regional,COL,Colombia,TOLIMA,CARMEN DE APICALÁ,1989,1989-1996,Conflicto armado / violencia,Todos,Todos,4.0,,8,Secundaria,CNMH - Desplazamiento forzado histórico por municipios (Una nación desplazada)
27850,Regional,COL,Colombia,TOLIMA,CARMEN DE APICALÁ,1997,1997-2004,Conflicto armado / violencia,Todos,Todos,104.0,,8,Secundaria,CNMH - Desplazamiento forzado histórico por municipios (Una nación desplazada)
27851,Regional,COL,Colombia,TOLIMA,CARMEN DE APICALÁ,2005,2005-2014,Conflicto armado / violencia,Todos,Todos,143.0,,10,Secundaria,CNMH - Desplazamiento forzado histórico por municipios (Una nación desplazada)
27852,Regional,COL,Colombia,TOLIMA,CASABIANCA,1980,1980-1988,Conflicto armado / violencia,Todos,Todos,13.0,,9,Secundaria,CNMH - Desplazamiento forzado histórico por municipios (Una nación desplazada)
27853,Regional,COL,Colombia,TOLIMA,CASABIANCA,1989,1989-1996,Conflicto armado / violencia,Todos,Todos,58.0,,8,Secundaria,CNMH - Desplazamiento forzado histórico por municipios (Una nación desplazada)
27854,Regional,COL,Colombia,TOLIMA,CASABIANCA,1997,1997-2004,Conflicto armado / violencia,Todos,Todos,740.0,,8,Secundaria,CNMH - Desplazamiento forzado histórico por municipios (Una nación desplazada)
27855,Regional,COL,Colombia,TOLIMA,CASABIANCA,2005,2005-2014,Conflicto armado / violencia,Todos,Todos,1350.0,,10,Secundaria,CNMH - Desplazamiento forzado histórico por municipios (Una nación desplazada)
27856,Regional,COL,Colombia,TOLIMA,CHAPARRAL,1980,1980-1988,Conflicto armado / violencia,Todos,Todos,74.0,,9,Secundaria,CNMH - Desplazamiento forzado histórico por municipios (Una nación desplazada)
27857,Regional,COL,Colombia,TOLIMA,CHAPARRAL,1989,1989-1996,Conflicto armado / violencia,Todos,Todos,449.0,,8,Secundaria,CNMH - Desplazamiento forzado histórico por municipios (Una nación desplazada)
27858,Regional,COL,Colombia,TOLIMA,CHAPARRAL,1997,1997-2004,Conflicto armado / violencia,Todos,Todos,5942.0,,8,Secundaria,CNMH - Desplazamiento forzado histórico por municipios (Una nación desplazada)
27859,Regional,COL,Colombia,TOLIMA,CHAPARRAL,2005,2005-2014,Conflicto armado / violencia,Todos,Todos,14306.0,,10,Secundaria,CNMH - Desplazamiento forzado histórico por municipios (Una nación desplazada)
27860,Regional,COL,Colombia,TOLIMA,COELLO,1980,1980-1988,Conflicto armado / violencia,Todos,Todos,0.0,,9,Secundaria,CNMH - Desplazamiento forzado histórico por municipios (Una nación desplazada)
27861,Regional,COL,Colombia,TOLIMA,COELLO,1989,1989-1996,Conflicto armado / violencia,Todos,Todos,10.0,,8,Secundaria,CNMH - Desplazamiento forzado histórico por municipios (Una nación desplazada)
27862,Regional,COL,Colombia,TOLIMA,COELLO,1997,1997-2004,Conflicto armado / violencia,Todos,Todos,157.0,,8,Secundaria,CNMH - Desplazamiento forzado histórico por municipios (Una nación desplazada)
27863,Regional,COL,Colombia,TOLIMA,COELLO,2005,2005-2014,Conflicto armado / violencia,Todos,Todos,318.0,,10,Secundaria,CNMH - Desplazamiento forzado histórico por municipios (Una nación desplazada)
27864,Regional,COL,Colombia,TOLIMA,COYAIMA,1980,1980-1988,Conflicto armado / violencia,Todos,Todos,28.0,,9,Secundaria,CNMH - Desplazamiento forzado histórico por municipios (Una nación desplazada)
27865,Regional,COL,Colombia,TOLIMA,COYAIMA,1989,1989-1996,Conflicto armado / violencia,Todos,Todos,109.0,,8,Secundaria,CNMH - Desplazamiento forzado histórico por municipios (Una nación desplazada)
27866,Regional,COL,Colombia,TOLIMA,COYAIMA,1997,1997-2004,Conflicto armado / violencia,Todos,Todos,3568.0,,8,Secundaria,CNMH - Desplazamiento forzado histórico por municipios (Una nación desplazada)
27867,Regional,COL,Colombia,TOLIMA,COYAIMA,2005,2005-2014,Conflicto armado / violencia,Todos,Todos,7276.0,,10,Secundaria,CNMH - Desplazamiento forzado histórico por municipios (Una nación desplazada)
27868,Regional,COL,Colombia,TOLIMA,CUNDAY,1980,1980-1988,Conflicto armado / violencia,Todos,Todos,31.0,,9,Secundaria,CNMH - Desplazamiento forzado histórico por municipios (Una nación desplazada)
27869,Regional,COL,Colombia,TOLIMA,CUNDAY,1989,1989-1996,Conflicto armado / violencia,Todos,Todos,161.0,,8,Secundaria,CNMH - Desplazamiento forzado histórico por municipios (Una nación desplazada)
27870,Regional,COL,Colombia,TOLIMA,CUNDAY,1997,1997-2004,Conflicto armado / violencia,Todos,Todos,3097.0,,8,Secundaria,CNMH - Desplazamiento forzado histórico por municipios (Una nación desplazada)
27871,Regional,COL,Colombia,TOLIMA,CUNDAY,2005,2005-2014,Conflicto armado / violencia,Todos,Todos,2491.0,,10,Secundaria,CNMH - Desplazamiento forzado histórico por municipios (Una nación desplazada)
27872,Regional,COL,Colombia,TOLIMA,DOLORES,1980,1980-1988,Conflicto armado / violencia,Todos,Todos,27.0,,9,Secundaria,CNMH - Desplazamiento forzado histórico por municipios (Una nación desplazada)
27873,Regional,COL,Colombia,TOLIMA,DOLORES,1989,1989-1996,Conflicto armado / violencia,Todos,Todos,110.0,,8,Secundaria,CNMH - Desplazamiento forzado histórico por municipios (Una nación desplazada)
27874,Regional,COL,Colombia,TOLIMA,DOLORES,1997,1997-2004,Conflicto armado / violencia,Todos,Todos,3069.0,,8,Secundaria,CNMH - Desplazamiento forzado histórico por municipios (Una nación desplazada)
27875,Regional,COL,Colombia,TOLIMA,DOLORES,2005,2005-2014,Conflicto armado / violencia,Todos,Todos,3547.0,,10,Secundaria,CNMH - Desplazamiento forzado histórico por municipios (Una nación desplazada)
27876,Regional,COL,Colombia,TOLIMA,ESPINAL,1980,1980-1988,Conflicto armado / violencia,Todos,Todos,13.0,,9,Secundaria,CNMH - Desplazamiento forzado histórico por municipios (Una nación desplazada)
27877,Regional,COL,Colombia,TOLIMA,ESPINAL,1989,1989-1996,Conflicto armado / violencia,Todos,Todos,49.0,,8,Secundaria,CNMH - Desplazamiento forzado histórico por municipios (Una nación desplazada)
